event_id,name,location,start_time,end_time,curr_capacity,max_capacity,owner_id,category,description,active
8dcd3c5f-0e37-4269-a648-b00c262db04d,hello,Robinsonport,2024-03-15 00:34:25,2024-09-01 03:18:03,75,100,b815b2f7-e4df-425d-ab49-bac3c8cdee88,source,hello,True
2f8d9925-26f3-4563-9020-93321bcb9186,hello,North Scottburgh,2024-01-03 05:22:17,2024-09-19 17:37:31,28,100,aaaf75cb-43f8-46d8-ae37-7711e43b3163,father,hello,True
da142553-97ee-483a-857d-88e7076b3cb8,hello,Mccalltown,2024-06-20 23:53:56,2024-09-28 16:01:58,12,100,b815b2f7-e4df-425d-ab49-bac3c8cdee88,science,hello,True
ca16acb6-7b42-4326-bc7e-a92b97c07738,hello,West Emily,2025-06-08 00:56:00,2025-05-05 03:06:06,84,100,11ea291f-3c3e-4207-8062-d0db83455ada,paper,hello,True
fa7b5981-3e44-4012-9445-dea4f649a9ae,hello,East Rachaelside,2023-11-24 08:42:12,2024-10-01 12:03:09,7,100,c8f4b2ed-f4ad-4e11-9454-e531e49797e3,pick,hello,True
0f4adc66-c0d8-4046-9ab1-31ab5a4b0850,hello,Wilsonport,2024-08-07 04:11:51,2024-07-10 14:19:34,31,100,0fc761e0-fed7-4bea-a6ce-6e2efd7148a9,various,hello,True
8ef6b27b-487e-4d03-a4ba-a494c594a252,hello,East Patricia,2025-01-28 04:22:50,2024-11-30 12:34:53,54,100,442626b3-6f1c-4504-90a9-7d4b7ed7e38f,include,hello,True
afe1cf5f-3e0c-41fc-8859-f0d67673afdc,hello,Davisfort,2025-04-12 19:10:39,2023-06-13 14:31:34,18,100,62d80eae-b077-4af9-b72b-bc6d4ccf3269,identify,hello,True
89856805-f43d-401f-91b7-9611405dc687,hello,Mariaton,2025-04-29 07:13:20,2024-11-03 19:52:05,38,100,aea7f046-17e4-49e9-8d05-15f2109f2b03,idea,hello,True
f2e1f1d7-f94c-4f7e-b31f-ced73fbe5c77,hello,Lake Matthewside,2024-06-22 22:25:17,2024-04-18 18:00:58,12,100,7aa9da3d-aed4-4f8c-af4f-cd2f5382dc57,benefit,hello,True
c1e4b1ee-df8c-4fdf-b63a-6af2e88db913,hello,West Rebeccamouth,2025-05-10 19:01:47,2025-03-20 04:42:14,49,100,3556f97e-6c05-4460-a61a-70d5a5024496,wait,hello,True
4d4991a7-d71b-44c7-905b-82334fc75091,hello,Maryton,2023-07-13 10:27:12,2024-01-04 13:36:55,21,100,b16e3f56-1172-45f9-ba28-426eb22b25c6,movement,hello,True
fd309c0d-9edb-4873-af09-a347bcafe95f,hello,New Garymouth,2024-01-10 09:52:45,2024-01-06 22:40:26,36,100,429b901b-d46a-451d-8ee5-708ddb71b894,sort,hello,True
fbeeeecb-7532-42f6-980d-3e132d62f3a6,hello,North Jillview,2024-07-30 03:29:18,2024-09-18 17:29:36,64,100,01e550e1-28df-46ba-a8d6-60c07286280c,agree,hello,True
e9e68769-c05a-4047-8ecc-069612a3a7ab,hello,East Nathaniel,2023-09-19 13:29:11,2023-11-27 06:23:47,21,100,ed127979-d266-4f7a-9db6-52898e24a7f8,market,hello,True
d972758e-7495-417e-9e99-847f21f3d7ab,hello,Johnsonbury,2025-01-01 04:26:29,2024-04-08 06:16:38,95,100,a388e617-dab5-4166-80ab-9c7533fcbc76,job,hello,True
3dc84218-cae8-4fe4-b2ae-2c56bcc86b1a,hello,Lake Saraport,2024-04-21 00:46:55,2024-02-24 17:38:51,76,100,b507ea0b-df07-4720-a995-8284d04e1daf,something,hello,True
d55b1029-f475-416e-965b-c5d00843be6b,hello,Kylehaven,2025-04-14 14:07:55,2024-12-27 00:44:43,57,100,069056ca-0ed1-49dc-ba23-166c8525d4e2,size,hello,True
89178455-8acd-4198-887f-0bf9c0f8ed90,hello,West Shelialand,2023-09-11 22:29:57,2024-09-14 12:00:41,98,100,b16e3f56-1172-45f9-ba28-426eb22b25c6,church,hello,True
6fb93124-c2ea-4f0d-a089-280e0f48c79f,hello,Spearsport,2023-12-19 10:35:03,2024-09-22 23:18:11,61,100,7c3bed50-5728-4274-80a0-24aad4859244,success,hello,True
2ebd8551-08f2-4364-9d4d-8c248f27d92d,hello,Katherineport,2025-03-18 18:31:38,2025-02-06 04:33:42,62,100,4125a0c2-950c-4939-aeae-0829a7a7ec45,evening,hello,True
a786b3e6-cef3-47a3-b83b-7ede36652f22,hello,Courtneybury,2023-06-26 17:01:57,2024-12-06 03:32:12,9,100,d9cc7751-e12a-4da5-9e37-88f20f322239,two,hello,True
1e9eab2f-fdef-4f70-b027-180dd30303a5,hello,Travisfurt,2023-10-30 13:14:19,2025-06-01 01:08:07,46,100,62d80eae-b077-4af9-b72b-bc6d4ccf3269,huge,hello,True
7a247590-b0ea-4603-bd9c-503d176f7bb0,hello,South Jamesberg,2023-08-27 20:45:07,2024-02-10 03:02:58,50,100,791dd0ce-1c39-44db-91c8-80ee615be8ef,reach,hello,True
