event_id,name,city,address,start_time,end_time,curr_capacity,max_capacity,owner_id,category,description,active
e0dc7bd5-e7ad-4665-ba61-40ad922ac512,seven,Markham,77 Pine Road,2024-12-31 20:14:35,2025-01-01 04:14:35,0,100,36dcfca6-ef16-4441-b6bb-f2d09add3af1,Food,Bring your blankets and enjoy a magical evening under the stars at our Outdoor Movie Night on September 10th. The featured film is a family-friendly classic and concessions will be available. Gates open at 7 PM and the movie starts at dusk.,True
c2d8b24e-ca94-4d5e-8a1a-d3833316855d,reveal,Windsor,63 Willow Way,2024-12-11 10:43:18,2024-12-11 16:43:18,0,100,342e1b1c-bd5a-4b70-9071-aabcb18df081,Food,Bring your blankets and enjoy a magical evening under the stars at our Outdoor Movie Night on September 10th. The featured film is a family-friendly classic and concessions will be available. Gates open at 7 PM and the movie starts at dusk.,True
1037a543-2a58-4236-bece-8f49d25cb524,key,Markham,46 Birch Boulevard,2025-05-20 19:07:29,2025-05-21 01:07:29,0,100,f7c57053-f053-40ca-812e-092185d31463,Karaoke,Experience a culinary adventure at the Summer Food Festival on July 20th featuring diverse dishes from around the world. Enjoy live cooking demonstrations sample gourmet treats and listen to local bands. Perfect for food enthusiasts and families alike!,True
2aff8e74-8319-4e93-903b-264837d1fc6b,near,Ottawa,26 Willow Way,2025-02-09 10:18:23,2025-02-09 16:18:23,0,100,d2cd8018-53f9-4fe1-9a3f-5bb502d97f9b,MeetnGreet,Bring your blankets and enjoy a magical evening under the stars at our Outdoor Movie Night on September 10th. The featured film is a family-friendly classic and concessions will be available. Gates open at 7 PM and the movie starts at dusk.,True
c421328d-06e5-4ccd-abdd-c1a8dea670b2,you,Windsor,93 Cedar Lane,2024-12-07 11:17:17,2024-12-07 15:17:17,0,100,7057d006-edad-4602-a1d6-ea63a8b1ede4,MeetnGreet,Bring your blankets and enjoy a magical evening under the stars at our Outdoor Movie Night on September 10th. The featured film is a family-friendly classic and concessions will be available. Gates open at 7 PM and the movie starts at dusk.,True
8cc9f7c5-5818-454c-8cd8-bbc0aa774250,away,Hamilton,74 Maple Street,2025-03-29 20:56:12,2025-03-30 01:56:12,0,100,a657cc59-303e-44ab-96ef-ccaa04ccbf36,MeetnGreet,Join us for the annual Community Charity Run on August 15th where participants of all ages come together to support local nonprofits. The event will feature a 5K run/walk live music and food trucks. All proceeds will benefit community outreach programs.,True
b5dc3672-0b90-453c-80fc-218e7de931d2,help,Markham,50 Elm Street,2024-08-03 16:48:18,2024-08-03 19:48:18,0,100,fb90e074-cbb4-4970-a305-8c4f8591277b,Party,Join us for the annual Community Charity Run on August 15th where participants of all ages come together to support local nonprofits. The event will feature a 5K run/walk live music and food trucks. All proceeds will benefit community outreach programs.,True
7781daad-d4e7-4b6c-ac7c-459fffc55831,difference,London,91 Pine Road,2024-08-15 19:51:01,2024-08-15 22:51:01,0,100,60ffacfa-8595-4e47-928f-378eceb8d4bd,MeetnGreet,Join us for the annual Community Charity Run on August 15th where participants of all ages come together to support local nonprofits. The event will feature a 5K run/walk live music and food trucks. All proceeds will benefit community outreach programs.,True
f31fb2b9-bb19-465e-9102-b5cc39760973,question,Brampton,94 Walnut Street,2024-10-14 16:25:07,2024-10-14 22:25:07,0,100,abac7069-99f9-4478-b259-c680546c03bb,Food,Join us for the annual Community Charity Run on August 15th where participants of all ages come together to support local nonprofits. The event will feature a 5K run/walk live music and food trucks. All proceeds will benefit community outreach programs.,True
f0123230-f0b9-4b0d-8386-bc37ed7177e6,life,Ottawa,70 Pine Road,2024-10-09 02:14:27,2024-10-09 09:14:27,0,100,f8cc98ed-06cc-405a-b5b9-4dacd2912bc1,MeetnGreet,Join us for the annual Community Charity Run on August 15th where participants of all ages come together to support local nonprofits. The event will feature a 5K run/walk live music and food trucks. All proceeds will benefit community outreach programs.,True
